Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,Mumbai,5/10/2019,,,2298,460,,526,22,14,,,,7433.825,31
Normal,,,,,2299,,,,0,12,,,,1423.004,6
Normal,,1/21/2019,10/10/2018,-112,2300,,1,2,63,7,,0,-103,6217.328,21
Normal,,,10/10/2018,,2301,,,,0,1,,,,109.886,0
Normal,,1/11/2019,10/29/2018,-84,2302,1,,14,61,21,,0,-74,9860.543,25
Normal,,,10/14/2018,,2303,1,1,,0,3,,,,434.885,0
Normal,,12/29/2018,1/12/2019,0,2304,2,,2,40,19,8,1,14,9340.199,11
Normal,,,,,2305,602,4,703,1,19,,,,1613.843,12
Normal,,,10/9/2018,,2307,,,,2,,,,,85.724,0
Normal,,1/11/2019,1/19/2019,0,2310,,,,49,18,5,1,8,5359.732,16
Normal,,,,,2311,4,,12,0,,,,,122.49,0
Normal,,11/29/2018,10/27/2018,-56,2312,69,,79,33,14,6,0,-33,7889.12,18
Normal,,,11/22/2018,,2313,,,,1,5,,,,1507.33,9
Normal,Mumbai,1/4/2019,2/23/2019,28,2314,,,,69,41,11,1,50,9716.999,23
Normal,Mumbai,1/2/2019,5/21/2019,112,2315,58,21,84,76,58,19,1,139,9472.508,25
Normal,,1/8/2019,2/4/2019,0,2316,8,1,13,26,7,1,1,27,2576.139,13
Normal,,,10/10/2018,,2317,,,,0,,,,,661.033,0
Normal,,,1/6/2019,,2318,1,,3,0,12,,,,1266.971,0
Normal,,11/27/2018,,,2319,103,4,116,51,59,9,,,15822.862,28
Normal,Mumbai,11/22/2018,,,2320,,,1,78,71,4,,,11513.431,33
Normal,,12/29/2018,1/30/2019,28,2321,67,2,69,58,64,5,1,32,16390.071,29
Normal,,1/8/2019,2/6/2019,28,2322,,,,66,54,11,1,29,17437.683,25
Normal,Mumbai,12/7/2018,12/17/2018,0,2323,21,2,30,70,73,10,1,10,13264.99,25
Normal,,,10/13/2018,,2324,,,,0,2,,,,397.61,0
